config,cache_kb,trial,workload,mode,ticks,ms
no block-linking,16,1,calltree,interp,24159000,24.1590
no block-linking,16,1,calltree,jit-on,5368000,5.3680
no block-linking,16,1,calltree,jit-warm,4808000,4.8080
no block-linking,16,1,countloop,interp,26982000,26.9820
no block-linking,16,1,countloop,jit-on,4898000,4.8980
no block-linking,16,1,countloop,jit-warm,4322000,4.3220
no block-linking,16,1,nqueens,interp,23763000,23.7630
no block-linking,16,1,nqueens,jit-on,3732000,3.7320
no block-linking,16,1,nqueens,jit-warm,3026000,3.0260
no block-linking,32,0,arith,interp,27403000,27.4030
no block-linking,32,0,arith,jit-on,2032000,2.0320
no block-linking,32,0,arith,jit-warm,1566000,1.5660
no block-linking,32,0,memmix,interp,23250000,23.2500
no block-linking,32,0,memmix,jit-on,3973000,3.9730
no block-linking,32,0,memmix,jit-warm,3382000,3.3820
no block-linking,32,0,calltree,interp,24273000,24.2730
no block-linking,32,0,calltree,jit-on,5167000,5.1670
no block-linking,32,0,calltree,jit-warm,4557000,4.5570
no block-linking,32,0,countloop,interp,27142000,27.1420
no block-linking,32,0,countloop,jit-on,4716000,4.7160
no block-linking,32,0,countloop,jit-warm,4263000,4.2630
no block-linking,32,0,nqueens,interp,23786000,23.7860
no block-linking,32,0,nqueens,jit-on,3729000,3.7290
no block-linking,32,0,nqueens,jit-warm,3096000,3.0960
no block-linking,32,1,arith,interp,27541000,27.5410
no block-linking,32,1,arith,jit-on,2055000,2.0550
no block-linking,32,1,arith,jit-warm,1605000,1.6050
no block-linking,32,1,memmix,interp,23280000,23.2800
no block-linking,32,1,memmix,jit-on,4068000,4.0680
no block-linking,32,1,memmix,jit-warm,3542000,3.5420
no block-linking,32,1,calltree,interp,24787000,24.7870
no block-linking,32,1,calltree,jit-on,5383000,5.3830
no block-linking,32,1,calltree,jit-warm,5042000,5.0420
no block-linking,32,1,countloop,interp,28179000,28.1790
no block-linking,32,1,countloop,jit-on,4903000,4.9030
no block-linking,32,1,countloop,jit-warm,4476000,4.4760
no block-linking,32,1,nqueens,interp,23922000,23.9220
no block-linking,32,1,nqueens,jit-on,3896000,3.8960
no block-linking,32,1,nqueens,jit-warm,3212000,3.2120
no block-linking,64,0,arith,interp,27586000,27.5860
no block-linking,64,0,arith,jit-on,2052000,2.0520
no block-linking,64,0,arith,jit-warm,1573000,1.5730
no block-linking,64,0,memmix,interp,23160000,23.1600
no block-linking,64,0,memmix,jit-on,4014000,4.0140
no block-linking,64,0,memmix,jit-warm,3442000,3.4420
no block-linking,64,0,calltree,interp,24777000,24.7770
no block-linking,64,0,calltree,jit-on,5300000,5.3000
no block-linking,64,0,calltree,jit-warm,4691000,4.6910
no block-linking,64,0,countloop,interp,27193000,27.1930
no block-linking,64,0,countloop,jit-on,4735000,4.7350
